taxon	lfc_(Intercept)	lfc_logDose	se_(Intercept)	se_logDose	W_(Intercept)	W_logDose	p_(Intercept)	p_logDose	q_(Intercept)	q_logDose	diff_(Intercept)	diff_logDose	passed_ss_(Intercept)	passed_ss_logDose	diff_robust_(Intercept)	diff_robust_logDose
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;__	0.3593749317037864	-0.05921189661560532	0.8453717793408595	0.21665201887338803	0.4251087397121215	-0.27330415346929626	0.6777096151498772	0.7889131655023658	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;__;__;__	0.0044882418555591864	-0.0021875549362879707	0.8609400596712165	0.2283695923984703	0.005213187381794264	-0.009579011431920494	0.9959140543502321	0.9924923341768966	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;__	0.36458026761547	-0.08624969323692938	0.9013892046590993	0.22460835815636138	0.4044648701482423	-0.3840003726703997	0.6915794860711729	0.7063667601449202	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;__	-0.1881809219642837	0.06531385874461575	0.9447895401496149	0.25825568533110416	-0.19917760936947265	0.2529038563502609	0.8447985638999345	0.8037756070729849	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Comamonas;__	-0.5469280860967317	0.13577691164985484	0.922233113996482	0.23227538952271293	-0.5930475470856038	0.5845514323702294	0.5677507142152833	0.5732088575721906	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Elizabethkingia;__	-2.768551917838693	0.653702812603302	0.839017334056974	0.2057101689156273	-3.299755327403871	3.177785600241378	0.08085826871554284	0.08638749493322966	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;__	-0.0443538109151974	0.03638786151298452	1.2771276098496804	0.2989666036910178	-0.034729349340758435	0.12171212792245988	0.9731464619845334	0.9061287424064182	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__;__	-3.8564890729304837	0.8339280232005402	0.8405242799648515	0.22673886918991037	-4.588194731378554	3.6779226525208806	0.0037381321850232544	0.010356214418841209	0.1383108908458604	0.38317993349712476	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;__	1.6623113242205747	-0.44207917649961953	0.9560278811906912	0.2661324654911875	1.7387686666106832	-1.6611245669847001	0.10255124585177837	0.11744088775542019	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;__;__	0.5270978127119691	-0.10673729129778842	0.9021099301060317	0.22512126811907718	0.5842944358788018	-0.47413241844981996	0.5719670696489185	0.6455882962715869	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
