taxon	lfc_(Intercept)	lfc_FusariumYes	se_(Intercept)	se_FusariumYes	W_(Intercept)	W_FusariumYes	p_(Intercept)	p_FusariumYes	q_(Intercept)	q_FusariumYes	diff_(Intercept)	diff_FusariumYes	passed_ss_(Intercept)	passed_ss_FusariumYes	diff_robust_(Intercept)	diff_robust_FusariumYes
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;__	1.2027508718484998	-1.1337831078444662	0.4301105445379796	0.5491968024877998	2.796376157530578	-2.064438654246631	0.011928983357079054	0.053692489700811946	0.20279271707034394	0.8590798352129911	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;__;__;__	1.774733181477891	-1.9985325803121308	0.5262026470368502	0.6475099316830455	3.372718080138441	-3.0864894614317784	0.0031956042354016863	0.006075268573058484	0.05752087623723035	0.10935483431505272	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;__	-0.0790596712941776	0.480600048018887	0.47777627800678213	0.58696456023912	-0.16547425004858723	0.8187888683144655	0.8702319320980365	0.42255640621889323	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;__	0.3587294828313274	-0.08595062202588623	0.7284326905587332	0.8333338773264786	0.4924675779668392	-0.10314067910167657	0.6277515318515772	0.9188785231624149	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Comamonas;__	-0.055117032095120526	0.3968577632590097	0.6236028567120869	0.7256661307014172	-0.08838482938600083	0.5468875374897453	0.930822686294576	0.5930666129689154	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Elizabethkingia;__	0.2743598237233263	0.027292303921232434	0.5829596975276136	0.6603129610219013	0.4706325752653432	0.041332376512789974	0.6577187207908666	0.9686306240775502	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;__	0.8178791621655395	-0.8068452246832485	0.5860574565967482	0.6953278018218941	1.3955613958313682	-1.1603810786353674	0.1862277846773036	0.2667604333276268	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;__	-0.7676185846000088	1.3716762887676084	0.5989909705855515	0.739655544222334	-1.281519459048962	1.8544798311621855	0.21467026347360135	0.07847584112775835	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;__;__	1.0543618696718224	-1.0040442165314163	0.6313768010087757	0.7409915681750425	1.6699407833598365	-1.3550008659399935	0.11566080362671922	0.1954735267397526	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;__	0.25486678730143963	-0.17275179689671033	0.9695956794967608	1.0397596968542417	0.26285883146026445	-0.16614588680381162	0.7971180659218808	0.8708086454206716	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Herbaspirillum;__	0.5445837398303764	-0.4212676850763847	0.598791056325396	0.7265889078993314	0.9094720672221228	-0.5797882137979887	0.37748310879405933	0.5706640993390393	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia;__	0.8764986466367609	-0.8035526973638792	0.46015575583861057	0.5686726684501667	1.9047868803453007	-1.4130320339710423	0.08920256185396391	0.19128356979186448	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
