taxon	lfc_(Intercept)	lfc_AntibioticAllAB	lfc_AntibioticAmpicillin	lfc_AntibioticGentamycin	lfc_AntibioticPSN	lfc_AntibioticSulfamethazine	lfc_AntibioticTrimethoprim	se_(Intercept)	se_AntibioticAllAB	se_AntibioticAmpicillin	se_AntibioticGentamycin	se_AntibioticPSN	se_AntibioticSulfamethazine	se_AntibioticTrimethoprim	W_(Intercept)	W_AntibioticAllAB	W_AntibioticAmpicillin	W_AntibioticGentamycin	W_AntibioticPSN	W_AntibioticSulfamethazine	W_AntibioticTrimethoprim	p_(Intercept)	p_AntibioticAllAB	p_AntibioticAmpicillin	p_AntibioticGentamycin	p_AntibioticPSN	p_AntibioticSulfamethazine	p_AntibioticTrimethoprim	q_(Intercept)	q_AntibioticAllAB	q_AntibioticAmpicillin	q_AntibioticGentamycin	q_AntibioticPSN	q_AntibioticSulfamethazine	q_AntibioticTrimethoprim	diff_(Intercept)	diff_AntibioticAllAB	diff_AntibioticAmpicillin	diff_AntibioticGentamycin	diff_AntibioticPSN	diff_AntibioticSulfamethazine	diff_AntibioticTrimethoprim	passed_ss_(Intercept)	passed_ss_AntibioticAllAB	passed_ss_AntibioticAmpicillin	passed_ss_AntibioticGentamycin	passed_ss_AntibioticPSN	passed_ss_AntibioticSulfamethazine	passed_ss_AntibioticTrimethoprim	diff_robust_(Intercept)	diff_robust_AntibioticAllAB	diff_robust_AntibioticAmpicillin	diff_robust_AntibioticGentamycin	diff_robust_AntibioticPSN	diff_robust_AntibioticSulfamethazine	diff_robust_AntibioticTrimethoprim
K00001	-0.6115103755621801	0.5862313784314476	0.21293499952017644	1.2476259072469202	0.18297935523684888	-0.27751199331650794	1.0037212331488712	0.38386498919075673	0.5080404020685452	0.5476367312134818	0.5072750221374892	0.45661680163287977	0.5126026455856111	0.42524514126838764	-1.5930350325809421	1.153907004333787	0.3888252693502572	2.4594664684845653	0.40072847644350246	-0.5413783867609009	2.360335570572425	0.12480378750927573	0.26038832535284184	0.7009816951137994	0.02185784601434311	0.6923182959270695	0.5934526542175229	0.02711442172940262	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
K00003	-0.18610697936804305	0.25579813950456687	-0.27188974771238666	0.5663764315209077	-0.3905765594692899	-0.4550174229557959	0.46002408338811923	0.18869375664014792	0.28992351574871944	0.2348912891131802	0.3118831613703396	0.19782570036994773	0.1956810190667242	0.2293435675245044	-0.9862911348093089	0.8822952455028537	-1.1575131148493936	1.8159891320595374	-1.974346906083915	-2.3253017851498514	2.0058294564506047	0.33425296909083013	0.38674561065815105	0.25894263481709856	0.08243114133027413	0.060468954900866706	0.02923486814471996	0.056776254491896334	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
K00004	-0.20741333923900726	0.6764291323898027	-0.08710071580884421	0.8272321113240901	-0.6117669221576728	-0.2670945678028599	0.16272266696342166	0.18386501047655868	0.29166707613362164	0.2097726279426951	0.3350428674876076	0.28519788088516335	0.21578623813008313	0.3686294725629176	-1.1280740076723341	2.319182340895788	-0.4152148765216311	2.469033641955346	-2.145061247506269	-1.237773873428603	0.441426090627217	0.27091910256364526	0.029620496570952875	0.681832522877349	0.021403955546029904	0.042739391855539946	0.22828709386198723	0.6630266618082628	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
K00005	0.419406869644796	-0.41770440968129524	0.96117397117851755	-1.5086968479690932	0.541657529250735	0.6285244019278703	-1.4981736937204697	0.24177960098656623	0.6425061215611645	0.2988118316539251	0.5842644669690591	0.26445860036316154	0.25508431044841384	0.3726551071079921	1.7346660674988008	-0.6501174006970627	3.2166529881310737	-2.5822156459310905	2.048175134054693	2.463986910143491	-4.020268782432955	0.09618378745031517	0.5220576599521431	0.003823370967111027	0.016659283202202533	0.05212535581266349	0.021642283988047305	5.349224544431464e-4	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
K00007	0.46247349447499564	-0.39479139044935535	0.9372790973608148	-1.6920779919623394	0.5246712630884448	0.5854944487911715	-1.524577929046031	0.25733038462400404	0.595877481595103	0.3113604139824719	0.6485826971495103	0.2803281927870141	0.2682433175858129	0.3611317239483572	1.7971973855739367	-0.6625378582733806	3.010270590832331	-2.6088854966358808	1.8716321675396954	2.182699103413332	-4.221667131254439	0.0854486500482039	0.5142115704777188	0.006238017322781524	0.01569438592912583	0.07403055166480804	0.03952414188297924	3.2405860935920356e-4	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
K00008	0.13650587634606268	-0.02659491331769141	0.23886531830492969	-0.3723262117019141	-0.4627064762614884	-0.5533296687834759	-0.26093833147183737	0.5031006955736462	0.8278449230053799	0.5598619835865135	0.6099700729732267	0.5434382519200084	0.5366131585529649	0.5391279341681957	0.2713291345988217	-0.032125477343198705	0.42665036260319444	-0.6104007855451894	-0.8514425965171047	-1.0311518828117985	-0.4840007629625634	0.788558319519327	0.9746491456914523	0.6736010117791122	0.5475810467159284	0.4033017947576465	0.31319155852208724	0.6329619201729382	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
K00009	0.44767774907217833	-0.38360925970787946	1.0169177464069097	-1.6257045670003023	0.6017444295021294	0.6680746682332246	-1.6041373902034894	0.23107560635317126	0.6390896887360861	0.2931439565518189	0.6215642093467724	0.25420094269672894	0.24378432438330838	0.3682031033984719	1.9373648137828827	-0.6002432310659482	3.4690046432089745	-2.6155054337971335	2.367199834581387	2.740433249443855	-4.356664502274662	0.06507637003887722	0.5542129478085489	0.002079230280395826	0.015463127639018127	0.026715895973252295	0.01165588628252381	2.3144457516195192e-4	1	1	1	1	1	1	0.9253154114974838	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
K00010	-0.0368207544934918	0.16890249246983266	0.7423693501869706	-0.2934520583430172	0.28096316324913173	0.34475737604788464	-0.48872123080847313	0.19198056985445636	0.240170694250718	0.23609943819926296	0.34192882393300184	0.2166603387496235	0.20064862129287908	0.25476167017938195	-0.19179417230298995	0.7032602083146442	3.1443079909424707	-0.8582255656823968	1.2967909349288782	1.718214527597753	-1.9183467845235758	0.8495866335705865	0.48895198515018135	0.004543600498714378	0.39962356375895014	0.2075626841085845	0.09919250330853525	0.067563830376554	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
K00012	0.0762557074784052	-0.03563693057275234	-0.010788140563678767	-0.1328359154206564	-0.21235164994191869	-0.31748019099769964	-0.20930957680524484	0.1228551866005745	0.18841681962572537	0.14330573309006533	0.23296964478635118	0.12795466481945056	0.13534378897833052	0.16064430012117425	0.6206958744552394	-0.18913879686294566	-0.07528059297459226	-0.5701855086849441	-1.659585058829671	-2.3457315137566486	-1.3029380852439973	0.5409022976824835	0.851643154710615	0.9406424254501564	0.5740801923463152	0.11057328118670724	0.027980554404970166	0.2054903937264471	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
K00013	-0.011568679516975582	-0.09311196780498575	0.026510792679584685	8.875827256556941e-4	-0.13998932777387368	-0.22967692271760706	-0.0097283274565985	0.1139147198707544	0.16447035415133254	0.13906597875965238	0.21172688494046016	0.11980950945173656	0.12395583120506211	0.15268042854648486	-0.10155561572816225	-0.5661322265975759	0.1906346391550105	0.004192111577635933	-1.1684325260530863	-1.8528932482220128	-0.06371692527465384	0.9199895738442585	0.5767865946635546	0.8504845293589548	0.996691337576237	0.25460121995041823	0.07677247603918341	0.9497461628294662	1	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
