taxon	lfc_(Intercept)	lfc_FusariumYes	se_(Intercept)	se_FusariumYes	W_(Intercept)	W_FusariumYes	p_(Intercept)	p_FusariumYes	q_(Intercept)	q_FusariumYes	diff_(Intercept)	diff_FusariumYes	passed_ss_(Intercept)	passed_ss_FusariumYes	diff_robust_(Intercept)	diff_robust_FusariumYes
K00001	-0.5146755781747688	0.7191194479417967	0.3827820422637407	0.45063090211409457	-1.3445656309554672	1.5958058902931693	0.19459888160104497	0.127031092413876	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00003	-0.06882474825490122	0.1339402336719732	0.1879658289818876	0.23338081732084204	-0.36615563918021066	0.5739127800201241	0.7182943155733303	0.5727588328563561	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00004	-0.2341366770767437	0.35091214025063894	0.18315597355789107	0.2525926547070036	-1.2783458411348998	1.3892412693381033	0.2165236702891153	0.18082767828370075	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00005	0.19641758047613184	-0.2141903227875097	0.24089572009041255	0.3006128029097585	0.8153635124875309	-0.7125123105678499	0.4249679272754916	0.4848064368428099	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00007	0.351394954580837	-0.4175981262999351	0.2564135390110545	0.3180070399828781	1.3704227785167291	-1.313172583608272	0.1865302990113687	0.20476386303610772	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00008	0.0696027880025732	-0.047745907665964704	0.5019395234346133	0.5697284284261912	0.13866767758454912	-0.08380467830586802	0.8911719430411409	0.9340884139088466	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00009	0.17766526544097105	-0.18957790930385968	0.23021712227905253	0.30014759350171555	0.7717291558601713	-0.6316156231410068	0.4497673990576866	0.5351642135688759	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00010	0.1258671259842693	-0.12159285126693936	0.1912402973020643	0.2381534454185767	0.6581621538972093	-0.5105651570701767	0.518329956315304	0.6155364555184837	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00012	0.04807418558556373	-0.019489616993639193	0.12252540223154232	0.15560234425772426	0.3923609693173303	-0.12525272088033923	0.6991582235086538	0.9016392684271184	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00013	0.09625742273078279	-0.08273011574673696	0.11367801111080161	0.14092192983583454	0.8467549862124256	-0.5870634601946801	0.407670988372721	0.5640726877436748	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00014	0.08126848491254877	-0.06305713486030824	0.06805070633172909	0.12705268977824688	1.1942342599118152	-0.4963069650108617	0.2470831410494216	0.6253706979793177	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00015	0.469054289233785	-0.5978371317979478	0.3971838676102595	0.49203847069316103	1.1809500019624388	-1.215021116043513	0.2548804752801189	0.24198450901444454	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00016	0.3579738532538725	-0.4262329308082951	0.22629380677385671	0.31560882413689256	1.5818985873157732	-1.3505101828946973	0.13017660505064485	0.19271982120795858	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00018	-0.2630453019429362	0.38885471038751657	0.19075702312907575	0.25450719182926146	-1.3789547437262457	1.5278731716484593	0.18392727479135426	0.1430209900693528	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00019	-0.008885024571003033	0.05526934633685794	0.07152835798554068	0.12704025937197233	-0.12421681164272111	0.43505379011412415	0.9024483551432596	0.6684249381764974	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00020	-0.1367710011226849	0.2231196905609369	0.13988751104028876	0.20912246516396177	-0.9777213141156947	1.0669331503241444	0.34049786626246914	0.29937208896691564	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00023	0.82405036512834	-1.037958352643533	0.2890345628578869	0.35331343159265066	2.851044376770645	-2.9377834518338863	0.010218882924617478	0.008446367034491137	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00024	0.20281372502237854	-0.22258526250445912	0.22492278988689343	0.24931675786462193	0.9017037585402847	-0.8927809923844834	0.37850311823633476	0.38314298561458815	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00027	-0.08416517994529558	0.15407455026561437	0.1548993992500954	0.20053913874731438	-0.5433538177214315	0.7683016453947832	0.5932045850337756	0.451752353485696	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00029	0.09163192264540337	-0.07665914688467834	0.12238863009848432	0.14683324139727047	0.7486963664162963	-0.5220830525512282	0.4632086948928056	0.6076462736660061	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00030	1.3658922612264992	-1.7491258412723665	0.28393276711632237	0.4296994523562147	4.810618637287878	-4.070579638119637	1.2152907247896995e-4	6.521182914996237e-4	0.5766554489127124	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00031	0.02729908690743861	0.0077777000213971915	0.13637180175637972	0.1665350039867101	0.20018131722133317	0.046703094455853085	0.8434658452783579	0.9632372670306648	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00032	-0.1756556113487662	0.27415574148266825	0.22764973683975145	0.299134962215184	-0.7716047195451613	0.91649514805111	0.4498393695752656	0.37089423775119335	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00033	0.1488002629917054	-0.15169259358920048	0.10770439968486284	0.14106063772605332	1.381561602191617	-1.0753715284046492	0.1831377663929144	0.29567516468531396	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00034	0.13602765693044355	-0.13492854813379185	0.2146600238174961	0.28361891389566213	0.6336888187718372	-0.47573889301130823	0.5338388606552045	0.6396845033450711	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00035	0.28368830727761096	-0.34132328324387284	0.3425219353095582	0.5212881105873515	0.8282339845511626	-0.6547689776758832	0.41838485159255123	0.5208964652347303	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00036	0.05035841353484101	-0.022487666177065904	0.08110808813923455	0.1322385671268416	0.6208802930774675	-0.17005376468951008	0.5420556652218638	0.8667655096048854	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00038	0.05531801517419075	-0.1556722320485174	0.6215210584814631	0.6471970777425985	0.08900424920331257	-0.24053296499962096	0.9319750701671731	0.8179249853111847	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00039	0.3570618931988802	-0.42503598323611697	0.2587208479275326	0.3218332974845171	1.380104835227244	-1.320671249862096	0.18357862514632242	0.20229862499984919	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00040	0.19761189511451588	-0.2157578607503896	0.26037246311683715	0.3141975096477641	0.7589585040943494	-0.6866950059288128	0.4571903057767145	0.5005707436535163	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00041	0.2703627423242772	-0.3112433477132	0.16624332608497977	0.22918887946854594	1.626307345331108	-1.3580211589450844	0.1203556944342784	0.1903662486338001	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00042	-0.09694818123658222	0.17085223946042924	0.12398776315695925	0.16029825779784712	-0.7819173341634775	1.065839652954256	0.44389880377648205	0.29985358812883883	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00045	-0.14931318490546439	0.23958130677583656	0.24071775894877803	0.3106366591979251	-0.620283212827835	0.7712589602091524	0.5424403559155817	0.4500393842234731	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00046	0.08905244753814917	-0.0732735858064064	0.18685138607911442	0.333700966632696	0.4765950598859547	-0.2195785842210595	0.6390857233155387	0.8285411655899209	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00048	0.26249042212334023	-0.30091092744947023	0.23056868757756138	0.30062945887535436	1.1384478303674286	-1.000936264114531	0.26908534324015726	0.32943557667236323	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00050	-0.023682123840330648	0.07469053912784905	0.14021865895758284	0.19507041283626095	-0.16889424001333989	0.38289014741842536	0.867664899875441	0.7060511758718593	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00052	0.06736061822426777	-0.04480305983193997	0.1283537301720414	0.1556382687522044	0.524804523670482	-0.28786660370318073	0.6057891070230672	0.7765653732422495	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00053	0.09739976870870122	-0.08422944484275578	0.09091997127979774	0.12481474262785866	1.0712692419244447	-0.674835705056814	0.2974682676561974	0.5079095564136608	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00054	0.6569017843217443	-0.8185758403348761	0.46870498733632504	0.5523827391884153	1.4015250574886167	-1.4818997449803795	0.17718130194544043	0.15476267157093854	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
