taxon	lfc_(Intercept)	lfc_FusariumYes	se_(Intercept)	se_FusariumYes	W_(Intercept)	W_FusariumYes	p_(Intercept)	p_FusariumYes	q_(Intercept)	q_FusariumYes	diff_(Intercept)	diff_FusariumYes	passed_ss_(Intercept)	passed_ss_FusariumYes	diff_robust_(Intercept)	diff_robust_FusariumYes
K00001	0.07839323467758348	-0.1256254949419181	0.3142984801037839	0.6745837589067488	0.24942288824208567	-0.186226681688143	0.8113530423235468	0.8584037204908971	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00003	0.056366580813349526	-0.09038284875914485	0.19725695791536058	0.46842628626225624	0.2857520536108816	-0.19294999322164963	0.7846768380372489	0.8533637357640587	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00004	0.3272696971009756	-0.5238278348193469	0.20891274583918387	0.5011286415741177	1.5665377226571906	-1.0452961402763326	0.16826462821763663	0.3361584291484613	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00005	0.6885941205743992	-1.1019469123768233	0.59274977514996	0.84808017904679045	1.16169444416945	-1.2993428447005675	0.2894786890834329	0.24151630450601566	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00007	0.5505368556230252	-0.8810552884546272	0.5343230092255625	0.7498032172486172	1.0303446531732983	-1.1750486903585664	0.3425801795422893	0.2844903862669743	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00008	-0.43924110278996703	0.7025894450061603	0.6455616888375885	0.857073146259374	-0.6804014401487696	0.8197543559409773	0.5216252928259884	0.44369333573393865	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00009	0.7035218246166718	-1.1258312388444602	0.5933165932059256	0.8479947560658315	1.1857443945992872	-1.3276393878514263	0.2805483172799027	0.23257283538855306	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00010	-0.04501195997084085	0.0718228164955604	0.1172614425691448	0.38363307787674794	-0.38385985183747795	0.1872174758575832	0.7143166982195718	0.8576605269027175	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00012	-0.1125292311503321	0.1798504503827438	0.1108373871735004	0.24828593622957815	-1.01526419938232	0.7243682550607485	0.3491574207023867	0.4961024790158237	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00013	-0.04458339421249999	0.07113711128221595	0.079186410531405	0.16716788289989856	-0.563018249132765	0.4255429335359437	0.5938208951222601	0.6852816915384695	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00014	-0.013362626762403936	0.02118388336205923	0.07232034908691402	0.18903776235222508	-0.18476994277702996	0.11206164894497803	0.8594967073642602	0.91442953437213	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00015	1.049361829978069	-1.5117318926927805	0.1208662994055879	0.7189276957748036	8.682005117545238	-2.1027592921754876	3.3525252657065293e-4	0.08943955992557236	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00016	0.932831369171171	-1.4927265101316574	0.2723813689735797	0.654610661284656	3.4247253132120554	-2.280327221072479	0.014061907622520272	0.06277154492741781	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00018	0.08118481282460721	-0.13009201997715764	0.23146766612363276	0.5619508042010176	0.3507393243479819	-0.23150072747404044	0.7377700904522522	0.8246187830262551	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00019	0.0656280087369725	-0.10520113343694133	0.11597840889775302	0.23002602408379708	0.5658640203870221	-0.4573444846336917	0.5920033575622478	0.6635158638614619	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00020	0.016063888742528606	-0.025898541445832764	0.10412141550301232	0.2687838131552207	0.15428035303711238	-0.09635454286406951	0.8824473725858939	0.9263767887496817	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00023	-0.06710718981655514	0.10717518424870266	1.1112066296640006	1.1877016082177576	-0.06039127919606327	0.09023746663905566	0.9538053123359832	0.9310354943213002	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00024	0.3646061910150726	-0.5835662250819005	0.061688023059603025	0.43380304948472914	5.9104859084686465	-1.3452331092993928	0.0010435352708275801	0.22716273126428785	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00027	0.2825200250817437	-0.45222835958857577	0.16996827734706552	0.49843340835417865	1.6621926720175784	-0.907299454669037	0.14753654667298446	0.39922034959828206	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00029	-0.030348268426276866	0.04836091002425713	0.10023092514380284	0.18126505688962452	-0.30278348107368797	0.26679665046366297	0.7722777209416927	0.7985583667085381	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00030	0.7811770450093546	-1.3932863966260813	0.3555011021144016	0.5958388023719537	2.1973969711012846	-2.3383613002033377	0.09292198678927752	0.07952079791303139	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00031	-0.015411831189345292	0.024462610445166653	0.13776593904319503	0.24773208457268933	-0.11186967763137068	0.0987462342125041	0.9145754122264521	0.9245561583844274	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00032	0.1284674415120456	-0.2057442258770586	0.17782919569360564	0.5439494291785665	0.7224204158994856	-0.37824145929844766	0.49721516473148897	0.7182721000614128	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00033	-0.12772350084075096	0.2041612818874147	0.06595092520294095	0.18285329330315087	-1.9366445648446398	1.1165305157995569	0.10091026431489294	0.3069024751352853	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00034	-0.07257686859439341	0.11592667029324212	0.11309451546358523	0.5247796064293501	-0.6417364122114488	0.22090544082308786	0.5447654743850006	0.8324915675946732	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00035	-0.08169876105491841	0.07175293475340123	0.6491284316753326	1.3355418404387098	-0.12585916294570929	0.05372571085442837	0.9047476180417023	0.9592342524462185	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00036	-0.1277007053984055	0.2041248091796633	0.07032351858038804	0.23725988375980464	-1.8159032422763175	0.8603427007758025	0.11929546689023049	0.4226407965734409	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00039	0.6650794449409021	-1.0643234313632277	0.5733666470280737	0.821185272152621	1.159954888182287	-1.2960819774242351	0.2901339315096742	0.24256638162339209	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00040	0.6169713479146289	-0.9873504761211908	0.5777638812542573	0.8154327173672458	1.0678607090759238	-1.2108300968214873	0.3266527414095869	0.27148633157075525	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00041	0.3939721105908087	-0.6305516964030802	0.556798633768697	0.7626594815108986	0.707566589961266	-0.8267801183745848	0.5057554976938894	0.4399955772283842	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00042	0.018654293966476655	-0.030043189804146705	0.08947902780159629	0.21818254671114795	0.20847671711229596	-0.13769749348430196	0.8417538250379064	0.8949842590469305	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00045	0.06126199186850624	-0.09821550644739678	0.20078775658494816	0.5842397098096899	0.30510820435701147	-0.16810823502460914	0.7705908922435989	0.8720215815679145	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00046	0.20378439904904758	-0.3262513579362626	0.26566709309295716	0.3983734745660105	0.7670667702068138	-0.818958537065456	0.47213616656102475	0.44411359989881033	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00048	0.7245624411187533	-1.159496225247791	0.5888366135069515	0.8466427698687775	1.2304982816938905	-1.369522384780423	0.2645595125749785	0.21987999926273355	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00050	0.04014397394353043	-0.06442667776743628	0.08030156602416284	0.2515445522370809	0.4999152062794274	-0.25612432149480263	0.6349362663786833	0.8064100362655361	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00052	-0.08602502739439993	0.13744372437325708	0.09561591320988264	0.1989333659849682	-0.8996936232316253	0.6909033268136759	0.40294581066028884	0.5154518331054792	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00053	-0.05283355081949344	0.08433736185340372	0.08007412092292714	0.16882232533198613	-0.6598080654590855	0.49956284921177213	0.533869949090298	0.6351701077786969	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00054	0.13832623908177905	-0.22151830198863154	0.4799897280494909	0.7319916497917527	0.28818583190079533	-0.30262408328244206	0.7829006632195963	0.7723934307350255	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00055	0.8169381042125543	-1.3072972861978713	0.229742556632719	0.6068322306086368	3.5558849704913977	-2.1542977123787352	0.01198654977188185	0.07466207693553949	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00057	-0.035753265961636485	0.05700890608083234	0.07724299595460007	0.1672064552058542	-0.46286741625934125	0.34094919368182597	0.6597714122836449	0.7447638259144955	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00058	-0.08495404209762472	0.13573014789841428	0.08640113465919641	0.22070889594321058	-0.9832514634526542	0.6149736163481978	0.3634549889333377	0.5611554641402869	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00059	-0.04962721996169319	0.07920723248092668	0.14031862421334934	0.29718565292656846	-0.35367521766915855	0.2665244156335433	0.7356781004223449	0.7987583348891398	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00060	0.6189371476310406	-0.9904957556674509	0.2557324086762167	0.5635058778524841	2.420253071696822	-1.7577381081493266	0.051845263205954804	0.12929918359053735	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00064	-0.12617083339407278	0.20167701397273013	0.3904449558136638	0.6802160548291659	-0.3231462758460802	0.29648964110878073	0.7575497717658778	0.7768513809314088	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00065	0.2633331324730137	-0.4215293314146076	0.5363052072825473	0.6759955225194452	0.49101356633719795	-0.6235682299248989	0.640857912152933	0.5558591281934155	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00066	0.08737968019720148	-0.1400038077733067	0.20726978688308395	0.6038286553037782	0.4215746130259222	-0.231860158579047	0.6880216813385025	0.8243520949395977	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00067	-0.1976659930528193	0.31606926942672614	0.16866320262747408	0.27793705499218824	-1.1719568345290086	1.137197303308872	0.2856387321648052	0.2988227055335642	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00068	0.7072321107311638	-1.1317676966276458	0.5847047572575046	0.8431704985948524	1.209554227074123	-1.3422762045324663	0.27194105319306505	0.22806400264345844	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00073	-0.06223754821451331	-0.05956885565453002	0.6196325467125361	0.8754128107563697	-0.10044267129723086	-0.06804658890365294	0.9238960765039187	0.9483859085539447	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00074	0.22584665594727368	-0.3615509689734227	0.0626057523564848	0.26512873236711754	3.607442566320028	-1.3636808268399652	0.011265443402212031	0.22161195343073004	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00075	-0.04244392085984931	0.06771395391797433	0.081905204620751	0.1705427801475089	-0.5182078606161736	0.3970496661272085	0.6228602056696565	0.7050692612367957	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00077	-0.011643172656646963	0.018432756792850214	0.09001357169227653	0.20184545663184422	-0.12934907967490403	0.09132113796581817	0.9013086432824082	0.930209956632789	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00086	0.7415094493383272	-1.1866114383991084	0.5668178319861399	0.8314124501952441	1.3081971093606295	-1.4272235616876454	0.2386853848094949	0.20342196768441273	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00087	-0.5435138310943134	0.7826646393851219	0.40309946702228694	0.4945840224763158	-1.3483367643953326	1.5824705283976324	0.23540632907444087	0.17438849810570548	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00088	-0.042405224924057974	0.06765204042070533	0.08226327344252984	0.170828580674592	-0.5154818565988964	0.39602296145967736	0.6246518066763473	0.7057871365138424	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00090	0.014870464745630571	-0.023989063050793496	0.1303017448948993	0.26213227418365226	0.11412329710262138	-0.09151510673571824	0.9128631318181439	0.930062201794045	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00091	0.08948755666791613	-0.14337641012645086	0.5738511665675058	0.9322951049533816	0.15594210116045681	-0.15378865486333346	0.8811930542198542	0.8828185873352685	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00094	-1.0543307664933081	1.6765942763333632	0.8585039090964715	1.0472406543260764	-1.2281024644406497	1.600963703430985	0.2740616549480082	0.17028369491301001	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00097	0.03940675835701409	-0.06324713282900643	0.0662399894712269	0.178638359486814	0.5949088861816842	-0.35405124079005523	0.5736397085929152	0.7354103415618978	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00098	-0.1830383201860075	0.292664992839827	0.61583311767103	0.9466894580714214	-0.29722065107220197	0.3091457186351677	0.7763196568222537	0.7676645260309456	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00099	-0.014676890048653177	0.023286704620059794	0.11766500689799166	0.23704273406891485	-0.1247345360832481	0.09823842401889318	0.90480785858733	0.9249426779390467	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00100	0.038014305976309844	-0.06101920901987951	0.23969103529635372	0.5460137791371629	0.15859711202510765	-0.11175397279589719	0.8791897879346235	0.9146633374017537	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00101	0.03513099050511872	-0.0564059042659744	0.09880789900665705	0.2578081236322359	0.35554840107218366	-0.21879025172394337	0.7343446467245098	0.8340658374819417	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00102	-0.1138692939562452	0.18199455087220692	0.6930901554532996	0.9904740140788378	-0.16429218199149234	0.1837449022238769	0.8748960528252213	0.8602659969867763	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00104	0.3163920125596742	-0.5064235395532641	0.1794124217647373	0.5382083952836313	1.7634900050262832	-0.940943218260992	0.1282743296582297	0.38305601880586926	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00108	-0.0036939971729098475	0.0057140760188691886	0.09400617649684406	0.24551187356948814	-0.039295260275093315	0.023274133082821807	0.9699298601776685	0.982186329285964	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00111	0.03657230833983944	-0.058712012801529295	0.06267832936832254	0.14881067087214497	0.5834920730724356	-0.3945416847960684	0.5808171755505963	0.7068234347698359	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00112	0.688889081975218	-1.1024188506181325	0.5730893891046326	0.8286385934496393	1.2020621827451827	-1.3303976659218109	0.2746245349154329	0.23171708808424546	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00113	0.68886069152971	-1.10237342590532	0.5728120343919405	0.8284017246680793	1.2025946561352523	-1.3307232385917769	0.27443306291106073	0.23161626664593546	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00114	0.15475395826165736	-0.247802652676436	0.20267230138738637	0.4826994814415806	0.7635673804574892	-0.5133683838573311	0.4740696396412982	0.6260427737510432	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00116	-0.06164799349766291	0.09844047013847433	0.06322662030764926	0.18655272032607687	-0.9750322442935421	0.5276817725649324	0.36719982991310834	0.6166557231369103	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00117	-0.004234899859979152	0.006579520318182247	0.11463047969400314	0.26176306916293884	-0.036943925134779836	0.02513540332187469	0.9717282009152963	0.9807620780970485	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00118	-0.46896230357223667	0.518332181449996	0.3067469681214842	0.5805517660343454	-1.5288245763084727	0.8928268102440524	0.22377779598484157	0.4377314167281181	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00121	-0.024923720325953285	0.03968163306374179	0.17741577467046699	0.23301378346567872	-0.14048198573236645	0.17029736384494445	0.8928767069850431	0.8703735666328827	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00123	0.4773386067982108	-0.7639380903349232	0.1452136522173104	0.45419454375422424	3.287146900512354	-1.681962279908648	0.016673081873153327	0.143569270848532	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00124	0.3714659271292501	-0.5945418028645855	0.049366462600019916	0.37879453732010254	7.52466163393081	-1.5695627689640212	2.8537195496242476e-4	0.16756862710338324	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00126	0.4513440811988056	-0.7223468493758746	0.07556575654265699	0.47008935779330535	5.972865248083914	-1.5366160441638521	9.877369216838453e-4	0.17529774647583724	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00127	0.36930425942234135	-0.5910831345335319	0.04839622602187066	0.3785020140331932	7.630848307375242	-1.5616380167575439	2.6419627433233453e-4	0.1693977591663861	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00128	0.0061341651975164455	-0.010010983773809802	0.18496741824850954	0.51041423451481	0.0331634903898318	-0.019613449423733352	0.9746199181997104	0.9849877031665097	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00130	-0.015474465223183824	0.02456282489930936	0.11111411948600726	0.2483616052189322	-0.13926641631833786	0.09889944493496525	0.8937966415352969	0.9244395465233296	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00131	0.08743748366052656	-0.14009629331462709	0.13652869861366018	0.47231066513311715	0.6404329972261095	-0.29661894946865536	0.5455566993208742	0.7767573145922677	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00133	0.004653965668879313	-0.0076426645279918225	0.05164632041710314	0.14063054596733449	0.09011224093591208	-0.05434569335858976	0.9311308969843064	0.9584241183942964	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00134	0.0029419226080354133	-0.004903395630641614	0.06082846540975196	0.1616350502600835	0.04836424177756368	-0.03033621496545251	0.9629956686188217	0.9767828271580477	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00135	0.0019218591065612164	-0.0032712940282846725	0.07800939403717486	0.16300328261642413	0.024636252214000884	-0.02006888435481764	0.9811440230674693	0.9846391634683596	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00137	0.4295216148601365	-0.6874309032340039	0.13674896968217556	0.7448973048548628	3.1409495505407246	-0.9228532560846683	0.0200437101468826	0.3916836463797873	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00138	-0.04812449171968062	0.0768028672937025	0.05935172851224644	0.17477331523888717	-0.8108355548524719	0.4394427558276003	0.448419707627705	0.6757258555570058	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00140	-0.07049958528331221	0.11260301699551242	0.20554380971576086	0.37086664651912926	-0.34299055457230043	0.30362130984918423	0.7433033172891499	0.7716696311745956	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00141	-0.4903292979348413	0.7843305572379619	0.7692609435372916	0.9820440743133247	-0.637403084160442	0.798671442304043	0.54739876476035	0.45492402287077216	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00145	-0.03200383039715686	0.05100980917766608	0.08701797957665922	0.1814422582925595	-0.36778411258058247	0.2811352198638164	0.7256596208448471	0.7880501093051568	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00146	0.0781292906840995	-0.12520318455234597	0.05884254658310047	0.289083466653168	1.3277686847519643	-0.4331039267028034	0.23253265823751917	0.6800756033947656	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00147	0.02003080832730243	-0.03224561278146796	0.10651606149700327	0.22132946255209954	0.18805434641296775	-0.14569055745968545	0.8570329157660455	0.8889369829546848	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00148	-0.052710369924277536	0.08414027242105729	0.14311805479508483	0.5457273088448934	-0.36829993252596804	0.15418006586320868	0.7252944555849035	0.882523083205893	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00151	0.04858814235647347	-0.07793734722814125	0.13274121038276065	0.32250888797828453	0.366036607745018	-0.241659532909955	0.7268973218146701	0.8170912504375689	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00154	0.19861638003525603	-0.3179825275141945	0.23644932184709275	0.5509345893954516	0.8399955579644143	-0.5771692931153973	0.433100884836789	0.5848149803294578	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00156	-0.16974412087697896	0.2713942739453796	0.06713394252482938	0.22829060937263254	-2.5284396311776174	1.188810502066645	0.044773903290839585	0.2794269312349957	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00161	0.11032376050028184	-0.17671433625823574	0.12958041928383005	0.2482306277254972	0.8513922173583275	-0.7118957796523526	0.42721886374578194	0.5032563294826966	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00162	0.11032376050028184	-0.17671433625823574	0.12958041928383005	0.2482306277254972	0.8513922173583275	-0.7118957796523526	0.42721886374578194	0.5032563294826966	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00163	-0.11230329081009699	0.1794889458383708	0.1872451184816078	0.3900248681074726	-0.599766187341904	0.46019872196690814	0.5706022385482182	0.6615794017122252	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
K00164	-0.04043084797225457	0.06449303729782149	0.0824999978502667	0.17087094766500127	-0.49007089728213693	0.3774371136763544	0.6414867147574995	0.7188391543943351	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
