function	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S6	S7	S8	S9
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	24912.33	6523.08	3009.76	3444.0	4630.28	5436.41	3997.35	6198.5	4706.42	4620.38	3600.01	23293.09	8460.42	3594.89	11001.75	5780.68	7081.8	7273.719999999998	6272.490000000002	7004.55	6122.27	20667.890000000007	6986.27	9016.68	9237.08	9834.04	6817.85	7877.85	4011.3	3647.91	3543.78	3901.39	11425.03	4211.73	7071.25	3063.99	2409.65	3373.61	4109.59	5329.82	4503.77	21904.54	15047.26	20127.31	18166.300000000007	14460.2	4182.32	12815.59	19732.61	25632.23	3584.25
1.1.1.136-RXN	3668.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3373.0	234.0	0.0	0.0	0.0	0.0	0.0	7.43	0.0	1.29	4165.0	0.0	73.0	0.0	0.0	3.5	0.0	2.25	0.5	3.25	0.0	377.0	4.75	2.0	4.0	1.75	2.0	0.0	0.0	19.0	15.0	44.0	3484.4	114.0	163.0	37.0	1964.0	1780.0	4625.0	0.0
1.1.1.145-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.215-RXN	5919.17	4416.33	2077.0	2558.0	2407.5	2903.04	3151.05	2349.45	1895.5	1711.9299999999996	1390.67	5580.38	3329.67	1782.63	3607.75	1033.6699999999996	3152.1	2964.86	2798.97	3290.35	1718.42	7629.05	1419.8599999999994	4291.78	3165.83	2292.18	2135.23	3028.09	1558.1799999999996	1117.52	1877.57	2225.52	5804.51	2448.74	3946.9	1712.47	1514.55	1846.48	1622.17	2215.12	2030.2	9079.23	5137.84	4854.5	5236.17	5222.51	1298.35	5591.25	10438.65	7338.83	2146.0
1.1.1.251-RXN	380.0	3313.0	0.0	389.0	113.0	98.0	2968.0	58.0	0.0	266.0	0.0	632.0	261.0	11.0	65.0	43.0	535.0	588.0	332.0	944.0	426.0	87.0	482.0	390.0	257.0	1.0	195.0	15.0	5.0	478.0	1015.0	1294.0	62.0	288.0	46.0	231.0	10.0	194.0	13.0	75.0	1128.0	9.0	170.0	63.0	13.0	99.0	12.0	2144.0	5730.0	3055.0	26.0
1.1.1.253-RXN	3701.5	32.33	61.0	35.0	57.67	23.67	14.67	458.83	119.33	53.33	0.0	1991.5	22.67	0.0	26.0	175.5	0.0	5.83	33.0	40.5	304.33	2890.83	135.17000000000002	47.33	126.83	1047.5	150.5	194.5	138.08	34.5	49.25	71.5	721.33	119.75	484.0	82.5	153.75	120.0	231.0	146.5	211.5	2654.33	1422.67	2853.5	1403.84	2020.51	426.0	2368.0	1811.83	2978.5	106.5
1.1.1.261-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	21.0	0.0	38.0	5.0	14.0	0.0	0.0	0.0	0.0
1.1.1.264-RXN	7168.0	9.0	24.0	54.0	25.0	4.0	124.0	58.0	11.0	79.0	93.0	6071.0	30.0	91.0	504.0	6.0	140.0	31.0	138.0	46.0	106.0	7744.0	148.0	36.0	5.0	41.0	16.0	15.0	6.0	27.0	172.0	1.0	658.0	389.0	11.0	44.0	11.0	6.0	3.0	28.0	22.0	325.0	950.0	6040.0	800.0	780.0	217.0	3704.0	3656.0	9828.0	76.0
1.1.1.271-RXN	1701.67	57.0	194.0	314.0	401.0	982.0	152.0	406.0	303.0	160.0	17.0	191.33	1146.0	111.66	5771.0	330.84	172.0	106.0	895.64	1979.0	231.34	985.33	741.52	0.0	267.0	1763.0	829.0	2942.0	725.5	909.5	273.5	177.5	215.0	982.5	693.0	931.5	173.0	221.0	229.5	1550.5	896.5	1219.66	1481.0	146.0	3616.33	1287.84	482.17	110.33	113.0	1842.0	221.0
1.1.1.292-RXN	0.0	0.0	0.0	0.0	21.63	8.62	25.37	0.12	0.0	0.0	0.0	12.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	9.0	0.0	0.0	2.0	0.0	10.0	3.75	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	7.12	0.0	0.0	0.0	0.25	0.0	0.0	0.0	35.0	0.0	0.0	0.25
1.1.1.34-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.39-RXN	502.15	3501.75	1653.25	2120.0	1399.75	1825.25	3083.25	1506.25	934.5	924.25	624.5	828.75	1156.75	949.5	140.0	228.0	2297.0	950.78	1838.14	1937.5	870.75	2559.0	952.11	2105.25	1118.25	802.0	790.76	770.0	363.5	1458.95	1720.64	1775.0	2680.5	2262.99	2848.85	2246.5	1173.0	1264.0	842.0	988.98	2525.75	1456.1	878.5	455.5	98.8	337.1	235.1	2761.25	6155.0	4716.5	1620.0
1.1.1.43-RXN	921.5	951.0	336.0	427.0	936.33	1155.87	243.37	428.12	805.25	794.1	733.0	1863.63	2419.5	843.8	3452.25	480.5	922.6	2051.75	741.0	1265.85	713.25	1879.8	669.75	2261.95	1990.0	473.85	1309.6	2066.0	909.1	205.9	304.35	314.85	937.85	493.7	655.3	440.55	180.3	360.65	545.75	1232.97	482.7	3287.15	2022.75	690.25	1623.5	2298.75	479.85	785.0	799.15	1177.25	513.0
