OTU ID	S48	S45	S29	S24	S20	S19	S17	S11	S50	S22	S53	S31	S3	S43	S47	S6	S1	S32	S36	S30	S10	S35	S14	S27	S38	S34	S46	S9	S33	S2	S42	S21	S23	S16	S4	S18	S41	S8	S37	S25	S44	S28	S15	S39	S5	S52	S49	S40	S26	S51	S12	S7	S13	PCRCtrl
4fe49fe5c1015cb0a948e5b8a085d860	615	1087	2817	1256	1688	2560	361	996	3978	453	556	778	5220	434	486	1480	3234	2868	638	2555	732	2690	1013	2468	396	1668	269	951	901	2009	1531	1988	1910	1604	1345	1638	726	4553	250	3607	321	969	748	825	640	505	1179	1186	1122	1611	773	2187	606	0
592d5efeb0a3464332b2cfc17efd4c2a	7622	0	217	0	2	0	136	0	3527	15	0	52	6960	0	0	6086	9097	145	19	92	7	0	71	0	0	0	0	48	0	4454	0	0	81	19	2125	67	0	7119	0	10	0	9	8	0	8541	1201	3542	0	2	6008	105	5125	26	0
bf155aa205fb8ec2b4a6d1edafbbfd1c	2441	1455	231	511	47	47	1768	3204	49	2	2253	39	72	2052	1112	0	17	631	106	271	0	223	3165	102	180	201	680	2801	687	36	15	1441	35	2829	191	1261	4809	0	76	20	1837	0	0	41	17	87	1042	166	378	101	3318	0	1979	0
94ca1389331a3a9230237844cfd545f6	0	0	368	398	222	0	0	0	11	56	0	365	70	0	320	1645	329	196	0	177	3248	0	0	267	892	94	0	0	0	548	23	0	40	0	38	213	0	1155	254	560	148	899	2767	1281	7	7	102	0	670	55	370	5730	103	0
7d452c3b0607078cc0e3a227cdf33b08	0	0	0	0	3	0	0	0	0	0	0	0	3555	0	0	1516	3382	0	0	0	0	0	0	0	0	0	0	0	0	2637	0	0	0	0	274	0	0	3984	0	0	0	0	0	0	2812	0	0	0	3	0	0	1589	0	0
8992381f7d3d5af45d162e2f4b38d01b	2232	475	0	1463	165	0	0	0	0	0	576	176	489	154	376	0	0	1510	878	0	0	0	0	0	433	298	1718	0	228	0	44	1064	0	0	213	53	739	0	212	305	917	3	0	348	0	163	150	201	757	0	0	22	11	0
909755d7142ea53c7f61c97c3586f26c	171	79	74	1401	615	0	17	46	0	2	223	1557	1842	101	64	77	41	508	145	24	181	103	83	122	14	147	56	97	274	145	64	212	161	11	2414	0	90	372	64	105	35	62	13	108	0	38	81	600	955	67	13	135	145	0
5b57784f4200c571f743fc0ae9b2a8f4	1028	172	0	259	1151	0	580	0	17	0	21	1959	0	0	0	142	0	744	210	0	739	0	410	51	19	452	98	198	64	1349	0	0	0	0	504	354	71	0	0	1051	2	45	0	0	0	0	212	32	41	41	75	19	573	0
9079bfebcce01d4b5c758067b1208c31	188	4	0	48	560	0	130	77	0	2858	67	0	477	31	274	1	2	0	358	12	23	1375	482	32	83	368	689	74	98	0	10	51	0	11	55	11	246	17	98	38	95	978	31	38	0	7	18	84	1017	42	155	33	188	0
c3d9608c9ea001108c947c63206a8bd0	235	0	0	0	0	0	0	0	1738	0	0	0	204	0	0	265	716	0	0	0	0	0	0	0	0	0	0	0	0	700	0	0	0	0	1338	0	0	310	0	0	0	0	0	0	948	74	674	0	0	243	0	1442	0	0
40cebed2a2a6465700df2d1713a40126	119	142	0	0	0	0	0	33	0	0	0	0	1140	28	173	678	580	79	11	0	0	52	0	60	26	94	11	119	251	1013	1	0	108	145	26	62	396	1200	14	5	20	25	18	52	0	0	0	46	0	0	0	183	0	0
5747992ec8974831558f048e9924dad4	1439	0	0	0	0	0	0	0	612	0	0	0	0	0	0	237	78	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	530	314	1462	0	0	1808	0	196	0	0
0310f41e594c49368dde5c5993a7a5d0	0	0	282	59	94	39	230	28	0	125	0	75	0	2	39	16	946	370	1	315	3	25	15	233	2	0	27	77	187	29	3	22	963	507	0	358	25	112	23	56	152	47	40	0	0	0	0	11	271	159	0	7	33	0
302b193a5b38db4ca6ede3be8b53a2d7	14	0	0	0	0	0	0	0	53	2	0	0	189	0	0	158	438	0	0	0	0	0	0	0	2	0	0	0	0	2711	0	0	0	0	402	0	0	53	0	0	0	0	0	0	602	6	33	0	0	14	0	793	0	0
0f2a155a57fe6d0bf34767080706b3e1	9	13	41	70	31	0	0	0	2	9	111	19	13	10	808	373	42	57	5	200	65	15	98	57	123	101	75	26	1	61	208	5	3	54	19	32	46	1839	224	25	46	37	110	13	56	5	68	50	15	43	19	0	10	0
e0e8bc0380af7150fde15a2628758843	0	0	898	855	11	27	292	4	0	17	0	11	10	0	0	4	957	404	0	751	17	0	7	26	0	0	0	0	0	2	0	26	348	5	72	142	0	62	0	3	0	0	3	0	98	0	0	0	8	0	2	0	38	0
f9661b31af9bae475453b8806d0d3c7d	1825	5	0	0	0	0	0	0	340	5	0	0	6	1	0	8	20	0	0	0	0	0	0	7	0	0	0	0	18	0	0	3	209	0	30	0	7	9	0	0	0	0	0	1	4	453	978	0	0	242	0	6	2	0
1e79c99ee01b747ac38b8288f163386c	50	15	127	0	0	0	6	5	0	0	207	0	0	24	2	14	309	153	0	129	0	0	0	218	9	30	0	0	432	3	0	7	0	167	0	77	33	1718	2	0	0	19	49	0	9	0	21	105	24	80	0	12	0	0
3f157dc6113e037ad1f06cabb79ae120	30	160	50	0	22	0	74	0	0	10	503	11	0	130	105	0	309	0	116	76	0	168	0	0	26	77	134	0	590	0	54	0	0	134	0	0	284	0	22	0	85	0	0	33	0	17	183	88	1	0	0	0	1	0
1b75626f6834620dc2c729a1a81f497a	7	1	0	0	3	0	26	0	3	0	40	5	587	17	14	0	3	0	45	7	5	239	3	1280	30	21	37	0	53	2	60	0	2	0	27	0	11	8	92	225	8	0	9	123	0	5	32	44	0	15	0	0	0	0
